admin3,event_type,year,fatalities
Ivanivska,Explosions/Remote violence,2023,5
Ivanivska,Explosions/Remote violence,2024,8
Ivankivska,Battles,2022,0
Ivankivska,Explosions/Remote violence,2022,3
Ivankivska,Explosions/Remote violence,2023,1
Ivano-Frankivska,Explosions/Remote violence,2022,0
Ivano-Frankivska,Explosions/Remote violence,2023,0
Ivano-Frankivska,Explosions/Remote violence,2024,0
Iziumska,Battles,2022,59
Iziumska,Battles,2023,2
Iziumska,Explosions/Remote violence,2022,186
Iziumska,Explosions/Remote violence,2023,2
Iziumska,Explosions/Remote violence,2024,2
Izmailska,Explosions/Remote violence,2022,0
Izmailska,Explosions/Remote violence,2023,2
Izmailska,Explosions/Remote violence,2024,13
Izumrudnivska,Explosions/Remote violence,2023,0
Izumrudnivska,Explosions/Remote violence,2024,0
Kadiivska,Battles,2020,0
Kadiivska,Battles,2021,4
Kadiivska,Battles,2022,51
Kadiivska,Battles,2023,1
Kadiivska,Battles,2024,2
Kadiivska,Explosions/Remote violence,2020,7
Kadiivska,Explosions/Remote violence,2021,2
Kadiivska,Explosions/Remote violence,2022,301
Kadiivska,Explosions/Remote violence,2023,6
Kadiivska,Explosions/Remote violence,2024,8
Kaharlytska,Explosions/Remote violence,2022,0
Kakhovska,Battles,2022,0
Kakhovska,Explosions/Remote violence,2022,183
Kakhovska,Explosions/Remote violence,2023,46
Kakhovska,Explosions/Remote violence,2024,1
Kalanchatska,Explosions/Remote violence,2022,0
Kalanchatska,Explosions/Remote violence,2023,0
Kalchytska,Explosions/Remote violence,2020,0
Kalchytska,Explosions/Remote violence,2022,3
Kalchytska,Explosions/Remote violence,2024,0
Kalmiuska,Battles,2021,0
Kalmiuska,Battles,2022,0
Kalmiuska,Battles,2024,0
Kalmiuska,Explosions/Remote violence,2021,0
Kalmiuska,Explosions/Remote violence,2022,0
Kalmiuska,Explosions/Remote violence,2023,27
Kalmiuska,Explosions/Remote violence,2024,0
Kaluska,Explosions/Remote violence,2023,0
Kalynivska,Battles,2022,141
Kalynivska,Explosions/Remote violence,2022,85
Kalynivska,Explosions/Remote violence,2023,0
Kalynivska,Explosions/Remote violence,2024,0
Kalytianska,Battles,2022,3
Kalytianska,Explosions/Remote violence,2022,0
Kalytianska,Explosions/Remote violence,2024,1
Kamianets-Podilska,Explosions/Remote violence,2023,0
Kamianka-Buzka,Explosions/Remote violence,2022,0
Kamianska,Battles,2022,0
Kamianska,Explosions/Remote violence,2022,0
Kamianska,Explosions/Remote violence,2023,0
Kamianska,Explosions/Remote violence,2024,1
Kamiansko-Dniprovska,Battles,2022,0
Kamiansko-Dniprovska,Explosions/Remote violence,2022,10
Kamiansko-Dniprovska,Explosions/Remote violence,2023,0
Kamiansko-Dniprovska,Explosions/Remote violence,2024,6
Kanivska,Explosions/Remote violence,2022,0
Kanivska,Explosions/Remote violence,2024,0
Karlivska,Explosions/Remote violence,2022,0
Karolino-Buhazka,Explosions/Remote violence,2022,4
Karolino-Buhazka,Explosions/Remote violence,2023,0
Karolino-Buhazka,Explosions/Remote violence,2024,0
Karpivska,Explosions/Remote violence,2022,10
Karpivska,Explosions/Remote violence,2023,0
Katerynopilska,Explosions/Remote violence,2024,0
Kazankivska,Battles,2022,0
Kazankivska,Explosions/Remote violence,2022,0
Kazankivska,Explosions/Remote violence,2024,0
Kehychivska,Explosions/Remote violence,2024,0
Kerchenska,Explosions/Remote violence,2022,4
Kerchenska,Explosions/Remote violence,2023,0
Kerchenska,Explosions/Remote violence,2024,0
Keretskivska,Explosions/Remote violence,2023,2
Ketrysanivska,Explosions/Remote violence,2022,0
Kharkivska,Battles,2022,168
Kharkivska,Battles,2024,178
Kharkivska,Explosions/Remote violence,2021,0
Kharkivska,Explosions/Remote violence,2022,1001
Kharkivska,Explosions/Remote violence,2023,11
Kharkivska,Explosions/Remote violence,2024,128
Khartsyzka,Explosions/Remote violence,2022,0
Khartsyzka,Explosions/Remote violence,2023,0
Khartsyzka,Explosions/Remote violence,2024,0
Khersonska,Battles,2022,6549
Khersonska,Battles,2023,9642
Khersonska,Battles,2024,21965
Khersonska,Explosions/Remote violence,2022,949
Khersonska,Explosions/Remote violence,2023,701
Khersonska,Explosions/Remote violence,2024,929
Khlibodarivska,Battles,2022,50
Khlibodarivska,Battles,2023,0
Khlibodarivska,Battles,2024,10
Khlibodarivska,Explosions/Remote violence,2021,1
Khlibodarivska,Explosions/Remote violence,2022,4
Khlibodarivska,Explosions/Remote violence,2023,3
Khlibodarivska,Explosions/Remote violence,2024,1
Khmelnytska,Battles,2024,0
Khmelnytska,Explosions/Remote violence,2022,1
Khmelnytska,Explosions/Remote violence,2023,2
Khmelnytska,Explosions/Remote violence,2024,5
Khodorivska,Explosions/Remote violence,2024,0
Kholmynska,Explosions/Remote violence,2024,0
Khotinska,Battles,2024,2
Khotinska,Explosions/Remote violence,2022,0
Khotinska,Explosions/Remote violence,2023,1
Khotinska,Explosions/Remote violence,2024,215
Khotynska,Explosions/Remote violence,2023,0
Khrestivska,Battles,2023,7
Khrestivska,Explosions/Remote violence,2022,0
Khrestivska,Explosions/Remote violence,2023,1
Khrustalnenska,Battles,2022,0
Khrustalnenska,Explosions/Remote violence,2020,2
Khrustalnenska,Explosions/Remote violence,2021,0
Khrustalnenska,Explosions/Remote violence,2022,0
Khrustalnenska,Explosions/Remote violence,2023,0
Kiliiska,Explosions/Remote violence,2023,0
Kindrashivska,Battles,2022,3
Kindrashivska,Battles,2023,0
Kindrashivska,Battles,2024,5
Kindrashivska,Explosions/Remote violence,2022,15
Kindrashivska,Explosions/Remote violence,2023,0
Kindrashivska,Explosions/Remote violence,2024,24
Kindrativska,Explosions/Remote violence,2024,0
Kiptivska,Explosions/Remote violence,2023,0
Kiptivska,Explosions/Remote violence,2024,0
Kirovska,Explosions/Remote violence,2023,0
Kirovska,Explosions/Remote violence,2024,0
Klevanska,Explosions/Remote violence,2022,0
Koblivska,Battles,2022,45
Koblivska,Explosions/Remote violence,2022,4
Koblivska,Explosions/Remote violence,2023,0
Koblivska,Explosions/Remote violence,2024,0
Kochubeivska,Battles,2022,0
Kochubeivska,Explosions/Remote violence,2022,4
Kochubeivska,Explosions/Remote violence,2023,2
Kochubeivska,Explosions/Remote violence,2024,0
Kolarivska,Explosions/Remote violence,2024,0
Kolodiazianska,Explosions/Remote violence,2023,0
Kolomyichyska,Battles,2022,263
Kolomyichyska,Battles,2023,569
Kolomyichyska,Battles,2024,209
Kolomyichyska,Explosions/Remote violence,2022,75
Kolomyichyska,Explosions/Remote violence,2023,358
Kolomyichyska,Explosions/Remote violence,2024,93
Kolomyiska,Explosions/Remote violence,2023,1
Komarivska,Explosions/Remote violence,2024,0
Komarska,Battles,2023,0
Komarska,Battles,2024,11
Komarska,Explosions/Remote violence,2022,0
Komarska,Explosions/Remote violence,2023,8
Komarska,Explosions/Remote violence,2024,44
Komysh-Zorianska,Explosions/Remote violence,2022,0
Komysh-Zorianska,Explosions/Remote violence,2024,0
Komyshuvaska,Battles,2022,0
Komyshuvaska,Battles,2023,0
Komyshuvaska,Battles,2024,7
Komyshuvaska,Explosions/Remote violence,2022,13
Komyshuvaska,Explosions/Remote violence,2023,16
Komyshuvaska,Explosions/Remote violence,2024,10
Konotopska,Battles,2022,12
Konotopska,Explosions/Remote violence,2022,1
Konotopska,Explosions/Remote violence,2023,0
Konotopska,Explosions/Remote violence,2024,0
Koriukivska,Explosions/Remote violence,2022,0
Koriukivska,Explosions/Remote violence,2023,0
Koriukivska,Explosions/Remote violence,2024,0
Koropska,Explosions/Remote violence,2024,0
Korostenska,Battles,2022,10
Korostenska,Explosions/Remote violence,2022,16
Korostenska,Explosions/Remote violence,2023,0
Korostenska,Explosions/Remote violence,2024,0
Korovynska,Explosions/Remote violence,2022,0
Korovynska,Explosions/Remote violence,2024,0
Korsun-Shevchenkivska,Explosions/Remote violence,2023,1
Kostiantynivska,Battles,2020,0
Kostiantynivska,Battles,2021,1
Kostiantynivska,Battles,2022,3
Kostiantynivska,Battles,2023,35
Kostiantynivska,Battles,2024,221
Kostiantynivska,Explosions/Remote violence,2020,0
Kostiantynivska,Explosions/Remote violence,2021,0
Kostiantynivska,Explosions/Remote violence,2022,90
Kostiantynivska,Explosions/Remote violence,2023,349
Kostiantynivska,Explosions/Remote violence,2024,276
Kotelevska,Battles,2022,0
Kotelevska,Explosions/Remote violence,2022,2
Kotsiubynska,Explosions/Remote violence,2022,0
Kovelska,Explosions/Remote violence,2022,0
Kozeletska,Battles,2022,0
Koziatynska,Explosions/Remote violence,2022,2
Kramatorska,Battles,2022,0
Kramatorska,Battles,2024,17
Kramatorska,Explosions/Remote violence,2022,269
Kramatorska,Explosions/Remote violence,2023,31
Kramatorska,Explosions/Remote violence,2024,24
Krasnenska,Explosions/Remote violence,2022,0
Krasnohradska,Explosions/Remote violence,2022,4
Krasnohradska,Explosions/Remote violence,2023,0
Krasnohradska,Explosions/Remote violence,2024,0
Krasnohvardiiska,Explosions/Remote violence,2022,0
Krasnohvardiiska,Explosions/Remote violence,2023,0
Krasnohvardiiska,Explosions/Remote violence,2024,0
Krasnokutska,Explosions/Remote violence,2024,2
Krasnoperekopska,Explosions/Remote violence,2022,0
Krasnoperekopska,Explosions/Remote violence,2023,0
Krasnoperekopska,Explosions/Remote violence,2024,0
Krasnopilska,Battles,2022,2
Krasnopilska,Battles,2024,3
Krasnopilska,Explosions/Remote violence,2022,2
Krasnopilska,Explosions/Remote violence,2023,3
Krasnopilska,Explosions/Remote violence,2024,34
Krasnopolianska,Explosions/Remote violence,2024,0
Krasnorichenska,Battles,2022,41
Krasnorichenska,Battles,2023,141
Krasnorichenska,Battles,2024,306
Krasnorichenska,Explosions/Remote violence,2022,1049
Krasnorichenska,Explosions/Remote violence,2023,178
Krasnorichenska,Explosions/Remote violence,2024,32
Krasnosilska,Explosions/Remote violence,2022,1
Krasnosilska,Explosions/Remote violence,2023,0
Kremenchutska,Battles,2022,0
Kremenchutska,Explosions/Remote violence,2022,10
Kremenchutska,Explosions/Remote violence,2023,1
Kremenchutska,Explosions/Remote violence,2024,0
Kremenetska,Explosions/Remote violence,2024,0
Kreminska,Battles,2022,245
Kreminska,Battles,2023,806
Kreminska,Battles,2024,195
Kreminska,Explosions/Remote violence,2021,0
Kreminska,Explosions/Remote violence,2022,549
Kreminska,Explosions/Remote violence,2023,496
Kreminska,Explosions/Remote violence,2024,103
Krolevetska,Explosions/Remote violence,2022,0
Krolevetska,Explosions/Remote violence,2023,0
Krolevetska,Explosions/Remote violence,2024,0
Kropyvnytska,Explosions/Remote violence,2022,8
Kropyvnytska,Explosions/Remote violence,2023,1
Kropyvnytska,Explosions/Remote violence,2024,4
Krutivska,Battles,2022,200
Krutivska,Explosions/Remote violence,2022,0
Krutivska,Explosions/Remote violence,2024,0
Kryvorizka,Battles,2022,173
Kryvorizka,Battles,2023,0
Kryvorizka,Explosions/Remote violence,2022,14
Kryvorizka,Explosions/Remote violence,2023,29
Kryvorizka,Explosions/Remote violence,2024,47
Kulevchanska,Explosions/Remote violence,2022,10
Kulykivska,Battles,2022,0
Kulykivska,Explosions/Remote violence,2023,0
Kunievska,Battles,2022,0
Kunievska,Explosions/Remote violence,2022,3
Kunievska,Explosions/Remote violence,2023,0
Kunievska,Explosions/Remote violence,2024,1
Kupianska,Battles,2022,12
Kupianska,Battles,2023,301
Kupianska,Battles,2024,215
Kupianska,Explosions/Remote violence,2022,56
Kupianska,Explosions/Remote violence,2023,62
Kupianska,Explosions/Remote violence,2024,154
Kurakhivska,Battles,2021,0
Kurakhivska,Battles,2022,250
Kurakhivska,Battles,2023,6
Kurakhivska,Battles,2024,1542
Kurakhivska,Explosions/Remote violence,2020,0
Kurakhivska,Explosions/Remote violence,2022,69
Kurakhivska,Explosions/Remote violence,2023,25
Kurakhivska,Explosions/Remote violence,2024,231
Kurylivska,Battles,2022,0
Kurylivska,Battles,2023,7
Kurylivska,Battles,2024,96
Kurylivska,Explosions/Remote violence,2022,47
Kurylivska,Explosions/Remote violence,2023,44
Kurylivska,Explosions/Remote violence,2024,103
Kushuhumska,Battles,2022,0
Kushuhumska,Explosions/Remote violence,2022,1
Kushuhumska,Explosions/Remote violence,2023,0
Kushuhumska,Explosions/Remote violence,2024,2
Kutsurubska,Explosions/Remote violence,2022,10
Kutsurubska,Explosions/Remote violence,2023,2
Kutsurubska,Explosions/Remote violence,2024,8
Kyinska,Battles,2022,0
Kyinska,Explosions/Remote violence,2022,9
Kyinska,Explosions/Remote violence,2023,1
Kyrykivska,Explosions/Remote violence,2022,0
Kyrykivska,Explosions/Remote violence,2024,0
Kyrylivska,Battles,2022,0
Kyrylivska,Explosions/Remote violence,2022,0
Kyrylivska,Explosions/Remote violence,2023,3
Kyselivska,Battles,2022,0
Kyselivska,Explosions/Remote violence,2022,0
Kyselivska,Explosions/Remote violence,2023,0
Kyselivska,Explosions/Remote violence,2024,0
Ladyzhynska,Explosions/Remote violence,2022,0
Ladyzhynska,Explosions/Remote violence,2024,0
Lazurnenska,Explosions/Remote violence,2022,36
Lazurnenska,Explosions/Remote violence,2023,0
Lebedynska,Battles,2022,0
Lebedynska,Explosions/Remote violence,2022,7
Lebedynska,Explosions/Remote violence,2024,0
Leninska,Explosions/Remote violence,2023,0
Leninska,Explosions/Remote violence,2024,0
Liubetska,Battles,2022,0
Liubetska,Explosions/Remote violence,2023,0
Liubetska,Explosions/Remote violence,2024,0
Liubotynska,Explosions/Remote violence,2022,1
Liubotynska,Explosions/Remote violence,2023,0
Liubotynska,Explosions/Remote violence,2024,0
Liubymivska,Explosions/Remote violence,2022,18
Liubymivska,Explosions/Remote violence,2023,0
Liubymivska,Explosions/Remote violence,2024,0
Lokachynska,Explosions/Remote violence,2024,3
Losynivska,Explosions/Remote violence,2023,0
Lozivska,Explosions/Remote violence,2022,14
Lozivska,Explosions/Remote violence,2023,2
Lozivska,Explosions/Remote violence,2024,3
Lozno-Oleksandrivska,Battles,2022,0
Lozno-Oleksandrivska,Explosions/Remote violence,2022,0
Lozno-Oleksandrivska,Explosions/Remote violence,2023,0
Lozuvatska,Explosions/Remote violence,2023,0
Lozuvatska,Explosions/Remote violence,2024,1
Lubenska,Explosions/Remote violence,2022,0
Lubenska,Explosions/Remote violence,2024,0
Luchystivska,Explosions/Remote violence,2024,10
Luhanska,Battles,2020,1
Luhanska,Battles,2021,1
Luhanska,Battles,2022,2677
Luhanska,Battles,2023,0
Luhanska,Battles,2024,0
Luhanska,Explosions/Remote violence,2020,4
Luhanska,Explosions/Remote violence,2021,0
Luhanska,Explosions/Remote violence,2022,66
Luhanska,Explosions/Remote violence,2023,8
Luhanska,Explosions/Remote violence,2024,18
Lutska,Battles,2024,0
Lutska,Explosions/Remote violence,2022,4
Lutska,Explosions/Remote violence,2023,2
Lutska,Explosions/Remote violence,2024,1
Lutuhynska,Battles,2020,0
Lutuhynska,Battles,2021,0
Lutuhynska,Battles,2022,0
Lutuhynska,Explosions/Remote violence,2020,0
Lutuhynska,Explosions/Remote violence,2021,0
Lutuhynska,Explosions/Remote violence,2022,0
Lutuhynska,Explosions/Remote violence,2023,0
Lvivska,Explosions/Remote violence,2022,7
Lvivska,Explosions/Remote violence,2023,12
Lvivska,Explosions/Remote violence,2024,7
Lykhivska,Explosions/Remote violence,2024,0
Lymanska,Battles,2022,118
Lymanska,Battles,2023,1365
Lymanska,Battles,2024,633
Lymanska,Explosions/Remote violence,2022,426
Lymanska,Explosions/Remote violence,2023,465
Lymanska,Explosions/Remote violence,2024,260
Lypetska,Battles,2022,10
Lypetska,Battles,2023,0
Lypetska,Battles,2024,1868
Lypetska,Explosions/Remote violence,2022,10
Lypetska,Explosions/Remote violence,2023,10
Lypetska,Explosions/Remote violence,2024,317
Lypovodolynska,Explosions/Remote violence,2024,0
Lysychanska,Battles,2022,704
Lysychanska,Battles,2023,75
Lysychanska,Battles,2024,138
Lysychanska,Explosions/Remote violence,2020,0
Lysychanska,Explosions/Remote violence,2022,276
Lysychanska,Explosions/Remote violence,2023,12
Lysychanska,Explosions/Remote violence,2024,43
Mahdalynivska,Explosions/Remote violence,2023,0
Maiska,Explosions/Remote violence,2022,0
Makarivska,Battles,2022,18
Makarivska,Explosions/Remote violence,2022,62
Makarivska,Explosions/Remote violence,2023,0
Makiivska,Battles,2021,0
Makiivska,Battles,2022,0
Makiivska,Battles,2023,3
Makiivska,Battles,2024,0
Makiivska,Explosions/Remote violence,2020,1
Makiivska,Explosions/Remote violence,2021,0
Makiivska,Explosions/Remote violence,2022,33
Makiivska,Explosions/Remote violence,2023,155
Makiivska,Explosions/Remote violence,2024,5
Malobilozerska,Explosions/Remote violence,2022,50
Malobilozerska,Explosions/Remote violence,2023,15
Malodanylivska,Battles,2024,11
Malodanylivska,Explosions/Remote violence,2022,8
Malodanylivska,Explosions/Remote violence,2023,1
Malodanylivska,Explosions/Remote violence,2024,14
Malodivytska,Explosions/Remote violence,2024,0
Malomykhailivska,Explosions/Remote violence,2022,0
Malotokmachanska,Battles,2022,0
Malotokmachanska,Battles,2023,200
Malotokmachanska,Battles,2024,86
Malotokmachanska,Explosions/Remote violence,2022,17
Malotokmachanska,Explosions/Remote violence,2023,137
Malotokmachanska,Explosions/Remote violence,2024,201
Malynivska,Battles,2022,59
Malynivska,Battles,2023,236
Malynivska,Battles,2024,96
Malynivska,Explosions/Remote violence,2022,34
Malynivska,Explosions/Remote violence,2023,150
Malynivska,Explosions/Remote violence,2024,132
Malynska,Battles,2022,0
Malynska,Explosions/Remote violence,2022,18
Malynska,Explosions/Remote violence,2023,0
Manhushska,Battles,2022,0
Manhushska,Battles,2023,7
Manhushska,Explosions/Remote violence,2022,9
Manhushska,Explosions/Remote violence,2023,0
Manhushska,Explosions/Remote violence,2024,14
Mankivska,Explosions/Remote violence,2022,10
Marhanetska,Battles,2022,0
Marhanetska,Battles,2024,23
Marhanetska,Explosions/Remote violence,2022,28
Marhanetska,Explosions/Remote violence,2023,6
Marhanetska,Explosions/Remote violence,2024,19
Marinska,Battles,2020,1
Marinska,Battles,2021,5
Marinska,Battles,2022,186
Marinska,Battles,2023,808
Marinska,Battles,2024,2127
Marinska,Explosions/Remote violence,2020,4
Marinska,Explosions/Remote violence,2021,6
Marinska,Explosions/Remote violence,2022,107
Marinska,Explosions/Remote violence,2023,151
Marinska,Explosions/Remote violence,2024,190
Mariupolska,Battles,2020,0
Mariupolska,Battles,2022,321
Mariupolska,Battles,2023,6
Mariupolska,Explosions/Remote violence,2020,1
Mariupolska,Explosions/Remote violence,2021,0
Mariupolska,Explosions/Remote violence,2022,648
Mariupolska,Explosions/Remote violence,2023,494
Mariupolska,Explosions/Remote violence,2024,10
Markivska,Battles,2022,0
Mashivska,Explosions/Remote violence,2024,0
Matviivska,Battles,2023,0
Matviivska,Explosions/Remote violence,2022,2
Matviivska,Explosions/Remote violence,2023,0
Medzhybizka,Explosions/Remote violence,2023,0
Melitopolska,Battles,2022,116
Melitopolska,Battles,2023,4
Melitopolska,Explosions/Remote violence,2022,403
Melitopolska,Explosions/Remote violence,2023,131
Melitopolska,Explosions/Remote violence,2024,9
Menska,Battles,2022,0
Menska,Explosions/Remote violence,2022,0
Menska,Explosions/Remote violence,2023,0
Menska,Explosions/Remote violence,2024,0
Merefianska,Battles,2024,0
Merefianska,Explosions/Remote violence,2022,37
Merefianska,Explosions/Remote violence,2023,1
Merefianska,Explosions/Remote violence,2024,0
Mezhivska,Battles,2022,0
Mezhivska,Explosions/Remote violence,2022,0
Mezhivska,Explosions/Remote violence,2023,1
Mezhivska,Explosions/Remote violence,2024,2
Mezhyritska,Explosions/Remote violence,2023,0
Milovska,Battles,2022,0
Milovska,Explosions/Remote violence,2023,0
Mishkovo-Pohorilivska,Explosions/Remote violence,2022,0
Mizhvodnenska,Explosions/Remote violence,2023,0
Molochanska,Battles,2022,0
Molochanska,Battles,2024,0
Molochanska,Explosions/Remote violence,2022,0
Molochanska,Explosions/Remote violence,2023,3
Molochanska,Explosions/Remote violence,2024,0
Molochnenska,Explosions/Remote violence,2023,0
Molochnenska,Explosions/Remote violence,2024,0
Molodohvardiiska,Battles,2021,0
Molodohvardiiska,Battles,2022,0
Molodohvardiiska,Explosions/Remote violence,2021,0
Molodohvardiiska,Explosions/Remote violence,2022,0
Mukachivska,Explosions/Remote violence,2022,0
Mukachivska,Explosions/Remote violence,2024,0
Murovanska,Explosions/Remote violence,2024,0
Muzykivska,Explosions/Remote violence,2022,1
Muzykivska,Explosions/Remote violence,2023,2
Muzykivska,Explosions/Remote violence,2024,11
Myhiivska,Explosions/Remote violence,2022,0
Mykhailivska,Battles,2022,0
Mykhailivska,Battles,2023,20
Mykhailivska,Explosions/Remote violence,2022,35
Mykhailivska,Explosions/Remote violence,2023,2
Mykhailivska,Explosions/Remote violence,2024,3
Mykhailo-Kotsiubynska,Battles,2022,0
Mykhailo-Kotsiubynska,Explosions/Remote violence,2022,1
Mykhailo-Kotsiubynska,Explosions/Remote violence,2024,0
Mykhailo-Lukashivska,Explosions/Remote violence,2022,0
Mykhailo-Lukashivska,Explosions/Remote violence,2023,0
Mykhailo-Lukashivska,Explosions/Remote violence,2024,0
Mykolaivska,Battles,2022,208
Mykolaivska,Battles,2023,1
Mykolaivska,Battles,2024,3
Mykolaivska,Explosions/Remote violence,2022,651
Mykolaivska,Explosions/Remote violence,2023,13
Mykolaivska,Explosions/Remote violence,2024,45
Myliatska,Explosions/Remote violence,2022,0
Mylivska,Battles,2022,53
Mylivska,Battles,2024,3
Mylivska,Explosions/Remote violence,2022,29
Mylivska,Explosions/Remote violence,2023,7
Mylivska,Explosions/Remote violence,2024,41
Myrhorodska,Battles,2022,0
Myrhorodska,Explosions/Remote violence,2022,0
Myrhorodska,Explosions/Remote violence,2023,0
Myrhorodska,Explosions/Remote violence,2024,0
Myrivska,Battles,2024,5
Myrivska,Explosions/Remote violence,2022,11
Myrivska,Explosions/Remote violence,2023,0
Myrivska,Explosions/Remote violence,2024,13
Myrnenska,Battles,2020,0
Myrnenska,Battles,2021,2
Myrnenska,Battles,2022,0
Myrnenska,Battles,2023,4
Myrnenska,Battles,2024,5
Myrnenska,Explosions/Remote violence,2020,1
Myrnenska,Explosions/Remote violence,2021,1
Myrnenska,Explosions/Remote violence,2022,7
Myrnenska,Explosions/Remote violence,2023,11
Myrnenska,Explosions/Remote violence,2024,0
Myrnivska,Explosions/Remote violence,2024,0
Myrnohradska,Battles,2023,2
Myrnohradska,Battles,2024,146
Myrnohradska,Explosions/Remote violence,2022,0
Myrnohradska,Explosions/Remote violence,2023,3
Myrnohradska,Explosions/Remote violence,2024,77
Myroliubnenska,Explosions/Remote violence,2023,0
Myropilska,Battles,2023,3
Myropilska,Battles,2024,0
Myropilska,Explosions/Remote violence,2022,1
